,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
14,FORGOTTENAGE,DREAM,DOWNING ME,3rxBuyFbUbsfslCAliycO7,0.782,0.977,10,-1.108,0,0.0548,0.495,0.111,0.46,119.978,132500,4
15,HXVRMXN,RUNWAY,RUNWAY,1YV1mdDQny0j3q1x7GZ6H6,0.752,0.971,7,-1.591,0,0.052,0.63,0.0916,0.164,108.01,177951,4
16,Ghostface Playa,FROM THE NORTH,KILLKA,3SQV31uJMStclklmwxQHe1,0.801,0.957,4,-3.464,1,0.0465,0.501,0.0857,0.843,124.014,142258,4
17,LXST CXNTURY,UNIVERSE OF THE PAST,ODIUM,4yyX0nJqMpqaubcGdGsxx9,0.708,0.781,11,-8.267,0,0.0638,0.885,0.392,0.345,74.997,166579,4
18,PlayaPhonk,PURE MONSTROSITY,PURE MONSTROSITY,5P9317yVhHAtnriqWrcZtJ,0.605,0.682,1,-6.874,1,0.108,0.857,0.263,0.326,124.941,136395,4
19,gelowler,HIT THE GAS,HIT THE GAS,7BhiI0Z3iqqblrHlEhOVge,0.786,0.969,4,-1.463,0,0.316,0.0,0.652,0.822,97.472,128644,4
20,SHADXWBXRN,ADRENALIN,ADRENALIN,1xoigddYLuUFszTRCoPvkr,0.731,0.786,1,-4.07,1,0.0422,0.768,0.117,0.669,121.946,118033,4
21,DVRST,REASON TO LIVE,REASON TO LIVE,4ct6fY3UwHrY4IJIasEDfl,0.637,0.718,6,-6.171,0,0.075,0.000219,0.227,0.0801,120.029,192000,4
22,Ya$h,Sokudo,Sokudo,0ZUDRV82rJq9slVEhp8T6Q,0.57,0.78,3,-6.821,1,0.229,0.339,0.405,0.298,82.444,131292,4
23,deadsouls,FLASHBACKS,FLASHBACKS,33n1IwBFanRJRpibaiVj8N,0.672,0.948,9,-2.542,1,0.0335,0.0799,0.185,0.0679,129.991,152312,4
24,Razihel,Tokyo Streets,Tokyo Streets,00qBDRxq3cl7R827g8rbzC,0.694,0.909,2,-2.503,1,0.0313,0.924,0.104,0.105,127.986,105000,4
